crypto_name,price_usd,market_cap,volume_24h,fetched_at
bitcoin,78755,1580959439876.533,66700652836.17762,2026-08-22T03:32:49.432689+00:00
ethereum,2520.68,304090216251.0156,30412096043.340187,2026-08-22T03:32:49.432689+00:00
dogecoin,0.096536,15030229022.56255,2135504237.9493723,2026-08-22T03:32:49.432689+00:00
cardano,0.248038,9299603796.6203,1227075840.952162,2026-08-22T03:32:49.432689+00:00
solana,97.0,56534306622.89937,6883195734.441878,2026-08-22T03:32:49.432689+00:00
bitcoin,78228,1570776811252.8003,66308259372.89619,2026-08-22T04:20:42.350678+00:00
ethereum,2508.27,302993301725.7247,30831967483.923977,2026-08-22T04:20:42.350678+00:00
dogecoin,0.095209,14850994064.368093,2171284351.012512,2026-08-22T04:20:42.350678+00:00
cardano,0.245357,9215196841.199167,1243960529.4037986,2026-08-22T04:20:42.350678+00:00
solana,96.73,56423009019.01484,7023830250.456766,2026-08-22T04:20:42.350678+00:00
bitcoin,77393,1551892319927.6548,68444469226.2795,2026-08-22T05:16:37.366067+00:00
ethereum,2446.07,294997303669.55,31664043381.698353,2026-08-22T05:16:37.366067+00:00
dogecoin,0.091844,14222107783.379965,2280727468.9887605,2026-08-22T05:16:37.366067+00:00
cardano,0.230025,8581312164.262986,1187612954.047509,2026-08-22T05:16:37.366067+00:00
solana,94.17,54675684733.6303,7546216329.05803,2026-08-22T05:16:37.366067+00:00
bitcoin,77292,1550781892578.9602,69988101639.33624,2026-08-22T06:18:47.442247+00:00
ethereum,2431.91,293460987404.53424,33324167974.144245,2026-08-22T06:18:47.442247+00:00
dogecoin,0.091958,14297214632.668331,2829057692.2509527,2026-08-22T06:18:47.442247+00:00
cardano,0.231954,8688366535.69377,1498066621.6919358,2026-08-22T06:18:47.442247+00:00
solana,93.97,54758624627.864525,9077895388.453278,2026-08-22T06:18:47.442247+00:00
bitcoin,77296,1550383868864.9739,68340307290.40066,2026-08-22T07:21:47.766072+00:00
ethereum,2430.85,293084765336.5651,33267292596.611893,2026-08-22T07:21:47.766072+00:00
dogecoin,0.091823,14251006166.856544,3041237728.593379,2026-08-22T07:21:47.766072+00:00
cardano,0.232438,8704277103.404747,1516902400.6193285,2026-08-22T07:21:47.766072+00:00
solana,94.37,54923247671.98931,9220256815.108196,2026-08-22T07:21:47.766072+00:00
bitcoin,77370,1552841602723.1501,65387587049.63857,2026-08-22T08:15:38.239484+00:00
ethereum,2439.06,294348978441.1852,32500217397.502438,2026-08-22T08:15:38.239484+00:00
dogecoin,0.093274,14510909275.592648,2986139707.0391774,2026-08-22T08:15:38.239484+00:00
cardano,0.233246,8740723838.355856,1523206659.4034386,2026-08-22T08:15:38.239484+00:00
solana,94.88,55309690175.163574,8996374054.663095,2026-08-22T08:15:38.239484+00:00
bitcoin,77317,1551807186582.0715,60073976952.14004,2026-08-22T09:16:12.103125+00:00
ethereum,2425.74,292684252384.85474,30583027564.072414,2026-08-22T09:16:12.103125+00:00
dogecoin,0.09201,14290145276.256512,2835357408.4153156,2026-08-22T09:16:12.103125+00:00
cardano,0.225878,8475008000.494746,1445477477.950239,2026-08-22T09:16:12.103125+00:00
solana,94.14,54875092828.609245,8709141069.554209,2026-08-22T09:16:12.103125+00:00
bitcoin,76787,1541753279397.627,57460919907.04111,2026-08-22T10:11:01.111796+00:00
ethereum,2408.03,290742652969.29834,29844474976.759518,2026-08-22T10:11:01.111796+00:00
dogecoin,0.089488,13935834220.092321,2791358831.699246,2026-08-22T10:11:01.111796+00:00
cardano,0.221352,8299978601.037824,1345207618.065399,2026-08-22T10:11:01.111796+00:00
solana,92.69,54087548856.508545,8478347009.868324,2026-08-22T10:11:01.111796+00:00
bitcoin,76964,1545412581343.5352,56845032924.94078,2026-08-22T11:09:55.534047+00:00
ethereum,2412.62,291206391971.0002,30111072779.041897,2026-08-22T11:09:55.534047+00:00
